 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
289,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09841-07031,15.079,2.004,0.262,14.371,2249.643,3149.629,4.484,4.484,0.918,1.048,0.954,0.919
290,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09849-00952,0.410,1.004,1.500E-4,2.718,304.586,3154.113,0.961,0.961,0.698,2.654,0.377,0.667
291,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10002-03062,2.667,1.009,0.017,6.716,979.735,3202.475,2.242,2.242,0.743,1.972,0.507,0.732
292,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10107-08651,3.590,1.801,0.115,7.092,2769.777,3235.784,1.922,2.562,0.897,1.301,0.768,0.886
293,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10226-11755,20.311,1.032,0.101,16.293,3762.323,3272.936,5.124,4.804,0.962,1.088,0.919,0.952
294,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10234-07948,25.645,1.499,0.362,18.823,2542.699,3274.858,6.085,5.765,0.910,1.153,0.867,0.935
295,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10438-03505,20.003,2.081,0.440,18.557,1120.017,3340.195,5.124,6.085,0.730,1.305,0.766,0.867
296,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10443-00335,17.028,1.265,0.291,15.277,105.052,3342.437,4.804,4.804,0.917,1.060,0.944,0.920
297,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10470-00694,5.232,3.707,0.295,8.451,220.993,3352.045,2.883,2.562,0.921,1.186,0.843,0.887
298,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10562-01191,9.950,1.079,0.051,12.637,379.851,3380.870,3.523,4.164,0.783,1.315,0.760,0.858
299,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10670-03865,14.258,1.396,0.292,14.293,1235.638,3415.461,4.484,4.164,0.877,1.132,0.884,0.911
300,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10701-01357,67.394,1.224,0.173,32.022,430.135,3422.507,9.288,9.929,0.826,1.190,0.841,0.925
301,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10842-13034,0.821,2.640,0.138,3.546,4174.203,3471.830,0.641,1.601,0.820,2.392,0.418,0.889
302,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10992-03338,35.082,1.126,0.162,22.291,1065.570,3517.310,7.046,6.726,0.887,1.173,0.852,0.929
303,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:10996-07390,16.002,2.177,0.259,15.012,2364.624,3519.551,4.804,4.484,0.892,1.144,0.874,0.918
