 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
89,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09653-15049,0.923,1.982,0.318,4.905,4819.246,3091.018,1.601,1.281,0.482,1.871,0.535,0.621
90,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09663-15033,32.005,1.376,0.541,41.644,4808.036,3091.978,13.772,6.085,0.232,2.475,0.404,0.520
91,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09698-02568,0.410,4.188,0.241,2.452,822.157,3105.750,0.961,0.641,0.857,2.031,0.492,0.800
92,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09763-14314,1.949,1.240,0.072,5.092,4583.520,3126.248,1.922,1.281,0.944,1.441,0.694,0.884
93,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09775-08353,11.694,2.046,0.337,12.825,2673.053,3129.131,4.484,3.523,0.893,1.298,0.770,0.912
94,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09827-16084,168.742,1.042,0.174,49.784,5144.009,3139.700,15.053,15.373,0.856,1.034,0.967,0.946
95,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09971-08467,15.489,3.134,0.419,16.526,2709.244,3190.945,5.445,5.124,0.713,1.335,0.749,0.818
96,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:10029-11309,0.718,1.517,0.039,4.639,3621.721,3211.122,0.961,1.922,0.419,4.122,0.243,0.583
97,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:10048-07254,18.156,1.087,0.225,15.917,2321.066,3215.606,4.804,5.124,0.901,1.067,0.937,0.915
98,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:10115-16945,68.523,1.057,0.166,30.773,5422.973,3234.823,8.648,9.929,0.909,1.204,0.831,0.959
