 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
2448,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11047-05424,0.308,4.831,0.231,2.562,1737.196,3537.807,0.32,0.961,0.589,3,0.333,1
2449,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11048-05432,0.103,5.086,0,1.281,1739.758,3538.448,0.32,0.32,0.785,1,1,1
2450,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11047-05409,0.718,4.994,0.344,4.452,1732.072,3537.167,0.641,1.922,0.455,2.955,0.338,0.667
2451,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11050-05407,0.205,5.105,0.012,1.922,1731.431,3539.089,0.641,0.32,0.698,2,0.5,1
2452,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11050-05410,0.103,4.735,0,1.281,1732.712,3539.089,0.32,0.32,0.785,1,1,1
2453,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11050-05424,0.103,5.033,0,1.281,1737.196,3539.089,0.32,0.32,0.785,1,1,1
2454,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11049-05432,1.949,5.306,0.358,6.451,1738.797,3538.128,1.922,1.601,0.589,1.437,0.696,0.717
2455,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11052-05414,0.205,4.961,0.007,1.922,1733.673,3539.729,0.641,0.32,0.698,2,0.5,1
2456,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11753-04419,1.128,6.028,0.486,3.999,1414.675,3763.604,1.281,1.281,0.887,1.56,0.641,0.846
2457,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11754-04422,0.103,7.287,0,1.281,1416.276,3764.565,0.32,0.32,0.785,1,1,1
2458,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07466-05626,14421335.64,1.441,0.213,16773.038,0,0,3603.785,4782.734,0.644,1.327,0.63,0.837
2459,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:00705-09039,20.413,1.002,0.009,16.636,2892.444,223.235,5.445,5.124,0.927,1.087,0.92,0.928
2460,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:00898-12166,3.795,1.861,0.165,7.81,3895.56,286.33,2.242,2.562,0.782,1.295,0.772,0.804
2461,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:01152-06314,14.361,1.003,0.019,14.449,2020.003,366.72,4.804,4.484,0.864,1.548,0.646,0.909
2462,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02040-07439,35.595,1.309,0.367,27.195,2378.075,650.167,8.968,6.406,0.605,1.85,0.541,0.83
2463,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02056-11204,8.719,1.003,0.005,11.356,3586.49,656.893,3.843,3.523,0.85,1.154,0.866,0.872
2464,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02059-08287,22.567,1.103,0.197,17.807,2651.594,656.573,5.445,6.085,0.894,1.31,0.763,0.926
